Age (Ma),age_low,age_high,Paleoclimate Sensitivity (K),upper uncertainty ,lower uncertainty ,Time Period,Reference,Forcing,Note,
3.1445,3.025,3.264,5.01,NA,NA,Mid-Pliocene,Haywood et al. (2013),CO2,No upper and lower uncertainty is given,
3.3,3.3,3.3,7.1,1,1,middle Pliocene,Pagani et al. (2010),CO2,lower range,
3.3,3.3,3.3,8.7,1.3,1.3,middle Pliocene,Pagani et al. (2010),CO2,higher range,
4.2,4.2,4.2,9.6,1.4,1.4,early Pliocene,Pagani et al. (2010),CO2,,
20,0,40,7,1,1,Glacial Periods,Park and Royer (2011),"Paleogeography, solar luminosity, CO2",age ranges from 0 to 40Ma,
250,0,420,3.778407,2.181385,1.450958,Phanerozoic,Park and Royer (2011),"Paleogeography, solar luminosity, CO2",Phanerozoic,
34,34,34,6.364,3.33,1.998,Eocene-Oligocene,"Rohling et al., (2012)","Various; some include vegetation-albedo forcing, aerosol forcing, Greenhouse gas forcing (CO2, CH4, and N2O), albedo forcing due to land-ice volume/area changes ",using Lunt et al. (2010) definition of ESS,
36,36,36,6.734,0.962,1.813,Late Eocene,"Rohling et al., (2012)","Various; some include vegetation-albedo forcing, aerosol forcing, Greenhouse gas forcing (CO2, CH4, and N2O), albedo forcing due to land-ice volume/area changes ",using Lunt et al. (2010) definition of ESS; age is approximate (36 to 33.9 Ma = late Eocene),
36.9,36.9,36.9,3.3,0.3,1.2,Late Eocene,Anagnostou et al. (2016),CO2 forcing (CO2 estimates are based on boron isotopes),66% Confidence,
50,1,100,5.6,1.3,1.2,Mesozoic-Cenozoic,Krissansen-Totton and Catling (2017),"Paleogeography, solar luminosity, CO2",age ranges from 0 to 100 Ma (PDF available),
53.2,53.2,53.2,3.8,0.8,1.2,Early Eocene,Anagnostou et al. (2016),CO2 forcing (CO2 estimates are based on boron isotopes),66% Confidence,
55.8,55.8,55.8,5.1,1.4,1.4,PETM,Shaffer et al. (2016),"solar, albedo, high-latitude radiative forcing and CO2 in Danish Center for Earth System Science Model",,
55.9,55.9,55.9,4.45,1.15,1.15,pre-PETM,Shaffer et al. (2016),"solar, albedo, high-latitude radiative forcing and CO2 in Danish Center for Earth System Science Model",,
56,56,56,5.2,1.5,1.5,PETM,"Rohling et al., (2012)","Various; some include vegetation-albedo forcing, aerosol forcing, Greenhouse gas forcing (CO2, CH4, and N2O), albedo forcing due to land-ice volume/area changes ",,
210,0,420,2.8,2.7,1.2,Phanerozoic,Royer et al. (207),"Tectonic, silicate weathering and biota in a carbon cycle model",age ranges from 0 to 420 Ma (PDF available),
217,201,233,3.82,0,0,Late Triassic,Knobbe and Schaller (2017),CO2,age ranges from 201 to 233 Ma,
300,260,340,7,1,1,Glacial Periods,Park and Royer (2011),"Paleogeography, solar luminosity, CO2",age ranges from 260 to 340Ma,
210,0,420,4.2,0.81,0.67,Phanerozoic,This study,"Paleogeography, solar luminosity, CO2",,
20,0,40,9.29,2.81,2.32,Glacial Periods,This study,"Paleogeography, solar luminosity, CO2",age ranges from 0 to 40Ma,
40,NA,NA,2 to 5,,,Middle Eocene Climate Optimum,Bijl et al. (2010) ,CO2,No upper and lower uncertainty is given,
,3,3.3,2.041 to 2.355,NA,NA,Middle pliocene Warm period,Lunt et al. (2010),Orographic changes and CO2,"There is lowest and highest estimate, but no confidence interval is given. ",
,3,3.3,1.9 to 3.7,NA,NA,Middle pliocene Warm period,Hargreaves and Annan (2016),CO2 and CH4,Equilibrium climate sensitivity for the mid-Pliocene warm period; no upper and lower limit is provided statistically ,
,2.3,3.3,3.0 to 4.4,NA,NA,Late Pliocene epoch,Martínez-Botí et al. (2015),CO2,"The range of Earth system sensitivity is 68% confidence, no median value is provided",
145,145,145,3.7,NA,NA,Berriasian Stage,Farnsworth et al. (2019),"Paleogeography, solar luminosity, and CO2",,
70,70,70,5.3,NA,NA,Maastrichtian Stage,Farnsworth et al. (2019),"Paleogeography, solar luminosity, and CO2",,
45,34,56,3.8 to 4.7,NA,NA,Eocene,Farnsworth et al. (2019),"Paleogeography, solar luminosity, and CO2",,
,32,58,3.5 to 8.9,NA,NA,Eocene,Cramwinckel et al. (2018),CO2,"age rangs from 32 to 58 Ma, 68% confidence level is 3.5 to 8.9 degree C per doubling of CO2",